| Input filename | # Edges | # Graphs | # OK  | # NONEMBEDDABLE |Error flag| Duration | # Invalid OK | EDA Proc Time | EDA Total Time |
|================|=========|==========|=======|=================|==========|==========|==============|===============|================|
|n10.m0.g6       |0        |1         |1      |0                |SUCCESS   |0.0       |0             |0.000          |0.027           |
|n10.m1.g6       |1        |1         |1      |0                |SUCCESS   |0.0       |0             |0.000          |0.022           |
|n10.m2.g6       |2        |2         |2      |0                |SUCCESS   |0.0       |0             |0.016          |0.043           |
|n10.m3.g6       |3        |5         |5      |0                |SUCCESS   |0.0       |0             |0.031          |0.109           |
|n10.m4.g6       |4        |11        |11     |0                |SUCCESS   |0.0       |0             |0.031          |0.239           |
|n10.m5.g6       |5        |26        |26     |0                |SUCCESS   |0.0       |0             |0.125          |0.551           |
|n10.m6.g6       |6        |66        |65     |1                |SUCCESS   |0.0       |0             |0.438          |1.436           |
|n10.m7.g6       |7        |165       |162    |3                |SUCCESS   |0.0       |0             |1.016          |3.812           |
|n10.m8.g6       |8        |428       |413    |15               |SUCCESS   |0.0       |0             |3.156          |10.807          |
|n10.m9.g6       |9        |1103      |1034   |69               |SUCCESS   |0.0       |0             |8.062          |32.094          |
|n10.m10.g6      |10       |2769      |2451   |318              |SUCCESS   |0.0       |0             |26.094         |100.080         |
|n10.m11.g6      |11       |6759      |5321   |1438             |SUCCESS   |0.015     |0             |83.109         |313.874         |
|n10.m12.g6      |12       |15772     |9582   |6190             |SUCCESS   |0.047     |0             |228.875        |835.269         |
|n10.m13.g6      |13       |34663     |13220  |21443            |SUCCESS   |0.234     |0             |478.188        |1719.888        |
|n10.m14.g6      |14       |71318     |12881  |58437            |SUCCESS   |0.5       |0             |717.797        |2633.099        |
|n10.m15.g6      |15       |136433    |8283   |128150           |SUCCESS   |1.078     |0             |870.594        |3316.733        |
|n10.m16.g6      |16       |241577    |3098   |238479           |SUCCESS   |1.766     |0             |1060.141       |4179.919        |
|n10.m17.g6      |17       |395166    |529    |394637           |SUCCESS   |2.719     |0             |1501.562       |6039.649        |
|n10.m18.g6      |18       |596191    |0      |596191           |SUCCESS   |3.766     |0             |2218.984       |8950.877        |
|n10.m19.g6      |19       |828728    |0      |828728           |SUCCESS   |4.266     |0             |3071.172       |12416.174       |
|n10.m20.g6      |20       |1061159   |0      |1061159          |SUCCESS   |4.812     |0             |3942.969       |15889.900       |
|n10.m21.g6      |21       |1251389   |0      |1251389          |SUCCESS   |5.093     |0             |4652.734       |18707.072       |
|n10.m22.g6      |22       |1358852   |0      |1358852          |SUCCESS   |5.422     |0             |5072.594       |20401.920       |
|n10.m23.g6      |23       |1358852   |0      |1358852          |SUCCESS   |5.312     |0             |5064.969       |20385.797       |
|n10.m24.g6      |24       |1251389   |0      |1251389          |SUCCESS   |5.266     |0             |4682.953       |18832.656       |
|n10.m25.g6      |25       |1061159   |0      |1061159          |SUCCESS   |4.859     |0             |3970.844       |15977.488       |
|n10.m26.g6      |26       |828728    |0      |828728           |SUCCESS   |4.141     |0             |3099.625       |12450.143       |
|n10.m27.g6      |27       |596191    |0      |596191           |SUCCESS   |3.782     |0             |2225.125       |8962.403        |
|n10.m28.g6      |28       |395166    |0      |395166           |SUCCESS   |2.656     |0             |1474.875       |5930.086        |
|n10.m29.g6      |29       |241577    |0      |241577           |SUCCESS   |1.641     |0             |897.156        |3608.632        |
|n10.m30.g6      |30       |136433    |0      |136433           |SUCCESS   |0.984     |0             |510.547        |2044.120        |
|n10.m31.g6      |31       |71318     |0      |71318            |SUCCESS   |0.547     |0             |266.938        |1063.809        |
|n10.m32.g6      |32       |34663     |0      |34663            |SUCCESS   |0.266     |0             |128.828        |517.777         |
|n10.m33.g6      |33       |15772     |0      |15772            |SUCCESS   |0.109     |0             |59.062         |235.389         |
|n10.m34.g6      |34       |6759      |0      |6759             |SUCCESS   |0.031     |0             |25.969         |100.604         |
|n10.m35.g6      |35       |2769      |0      |2769             |SUCCESS   |0.016     |0             |10.172         |41.365          |
|n10.m36.g6      |36       |1103      |0      |1103             |SUCCESS   |0.0       |0             |4.219          |16.522          |
|n10.m37.g6      |37       |428       |0      |428              |SUCCESS   |0.0       |0             |1.375          |6.400           |
|n10.m38.g6      |38       |165       |0      |165              |SUCCESS   |0.0       |0             |0.719          |2.431           |
|n10.m39.g6      |39       |66        |0      |66               |SUCCESS   |0.0       |0             |0.281          |0.992           |
|n10.m40.g6      |40       |26        |0      |26               |SUCCESS   |0.0       |0             |0.109          |0.393           |
|n10.m41.g6      |41       |11        |0      |11               |SUCCESS   |0.0       |0             |0.125          |0.168           |
|n10.m42.g6      |42       |5         |0      |5                |SUCCESS   |0.0       |0             |0.000          |0.077           |
|n10.m43.g6      |43       |2         |0      |2                |SUCCESS   |0.0       |0             |0.000          |0.031           |
|n10.m44.g6      |44       |1         |0      |1                |SUCCESS   |0.0       |0             |0.000          |0.018           |
|n10.m45.g6      |45       |1         |0      |1                |SUCCESS   |0.0       |0             |0.000          |0.016           |
|================|=========|==========|=======|=================|==========|==========|==============|===============|================|
|TOTALS                    |12005168  |57085  |11948083         |46        |59.328    |0             |46361.578      |185730.912      |
