| Input filename | # Edges | # Graphs | # OK  | # NONEMBEDDABLE |Error flag|      Duration      | # Invalid OK | EDA Proc Time | EDA Total Time |
|================|=========|==========|=======|=================|==========|====================|==============|===============|================|
|n9.m0.g6        |0        |1         |1      |0                |SUCCESS   |0.0                 |0             |0.016          |0.018           |
|n9.m1.g6        |1        |1         |1      |0                |SUCCESS   |0.0                 |0             |0.031          |0.019           |
|n9.m2.g6        |2        |2         |2      |0                |SUCCESS   |0.0                 |0             |0.016          |0.037           |
|n9.m3.g6        |3        |5         |5      |0                |SUCCESS   |0.0                 |0             |0.031          |0.090           |
|n9.m4.g6        |4        |11        |11     |0                |SUCCESS   |0.0                 |0             |0.031          |0.195           |
|n9.m5.g6        |5        |25        |25     |0                |SUCCESS   |0.0                 |0             |0.125          |0.450           |
|n9.m6.g6        |6        |63        |63     |0                |SUCCESS   |0.015               |0             |0.312          |1.147           |
|n9.m7.g6        |7        |148       |148    |0                |SUCCESS   |0.0                 |0             |0.766          |2.683           |
|n9.m8.g6        |8        |345       |345    |0                |SUCCESS   |0.016               |0             |1.719          |6.160           |
|n9.m9.g6        |9        |771       |770    |1                |SUCCESS   |0.0                 |0             |3.750          |13.773          |
|n9.m10.g6       |10       |1637      |1633   |4                |SUCCESS   |0.016               |0             |8.438          |30.089          |
|n9.m11.g6       |11       |3252      |3228   |24               |SUCCESS   |0.218               |0             |15.375         |59.072          |
|n9.m12.g6       |12       |5995      |5862   |133              |SUCCESS   |0.015               |0             |28.875         |108.522         |
|n9.m13.g6       |13       |10120     |9498   |622              |SUCCESS   |0.047               |0             |49.781         |184.834         |
|n9.m14.g6       |14       |15615     |13321  |2294             |SUCCESS   |0.078               |0             |81.391         |297.621         |
|n9.m15.g6       |15       |21933     |15473  |6460             |SUCCESS   |0.125               |0             |114.484        |421.163         |
|n9.m16.g6       |16       |27987     |14226  |13761            |SUCCESS   |0.5                 |0             |139.500        |513.852         |
|n9.m17.g6       |17       |32403     |10013  |22390            |SUCCESS   |0.203               |0             |147.750        |543.008         |
|n9.m18.g6       |18       |34040     |5154   |28886            |SUCCESS   |0.25                |0             |139.703        |510.675         |
|n9.m19.g6       |19       |32403     |1871   |30532            |SUCCESS   |0.25                |0             |121.312        |451.452         |
|n9.m20.g6       |20       |27987     |427    |27560            |SUCCESS   |0.25                |0             |99.203         |363.865         |
|n9.m21.g6       |21       |21933     |60     |21873            |SUCCESS   |0.203               |0             |75.109         |282.210         |
|n9.m22.g6       |22       |15615     |0      |15615            |SUCCESS   |0.125               |0             |53.656         |196.976         |
|n9.m23.g6       |23       |10120     |0      |10120            |SUCCESS   |0.079               |0             |33.766         |126.653         |
|n9.m24.g6       |24       |5995      |0      |5995             |SUCCESS   |0.063               |0             |19.688         |76.219          |
|n9.m25.g6       |25       |3252      |0      |3252             |SUCCESS   |0.031               |0             |11.406         |41.425          |
|n9.m26.g6       |26       |1637      |0      |1637             |SUCCESS   |0.015               |0             |5.453          |21.029          |
|n9.m27.g6       |27       |771       |0      |771              |SUCCESS   |0.0                 |0             |2.562          |9.671           |
|n9.m28.g6       |28       |345       |0      |345              |SUCCESS   |0.0                 |0             |1.328          |4.399           |
|n9.m29.g6       |29       |148       |0      |148              |SUCCESS   |0.0                 |0             |0.391          |1.908           |
|n9.m30.g6       |30       |63        |0      |63               |SUCCESS   |0.0                 |0             |0.203          |0.796           |
|n9.m31.g6       |31       |25        |0      |25               |SUCCESS   |0.015               |0             |0.109          |0.313           |
|n9.m32.g6       |32       |11        |0      |11               |SUCCESS   |0.0                 |0             |0.047          |0.141           |
|n9.m33.g6       |33       |5         |0      |5                |SUCCESS   |0.0                 |0             |0.000          |0.065           |
|n9.m34.g6       |34       |2         |0      |2                |SUCCESS   |0.0                 |0             |0.016          |0.025           |
|n9.m35.g6       |35       |1         |0      |1                |SUCCESS   |0.0                 |0             |0.000          |0.013           |
|n9.m36.g6       |36       |1         |0      |1                |SUCCESS   |0.0                 |0             |0.000          |0.014           |
|================|=========|==========|=======|=================|==========|====================|==============|===============|================|
|TOTALS                    |274668    |82137  |192531           |37        |2.5140000000000002  |0             |1156.344       |4270.584        |
